year,chamber,state,incumbent,name,party,vote,pct,election,effective_vote,election_total_vote,notes
2000,P,NY,FALSE,"Gore, Al",COMBINED TOTAL,4107697,60.21,general,0,6821999,Set effective vote to zero to avoid double counting.
2000,P,NY,FALSE,"Gore, Al",D,3942215,57.7868012,general,3942215,6821999,
2000,P,NY,FALSE,"Gore, Al",L,77087,1.129976712,general,77087,6821999,
2000,P,NY,FALSE,"Gore, Al",WF,88395,1.295734579,general,88395,6821999,
2000,P,NY,FALSE,"Bush, George W.",COMBINED TOTAL,2403374,35.23,general,0,6821999,Set effective vote to zero to avoid double counting.
2000,P,NY,FALSE,"Bush, George W.",R,2258577,33.10726079,general,2258577,6821999,
2000,P,NY,FALSE,"Bush, George W.",C,144797,2.122501044,general,144797,6821999,
2000,P,NY,FALSE,"Buchanan, Patrick J.",COMBINED TOTAL,31599,0.46,general,0,6821999,Set effective vote to zero to avoid double counting.
2000,P,NY,FALSE,"Buchanan, Patrick J.",RTL,25175,0.3690267325,general,25175,6821999,
2000,P,NY,FALSE,"Buchanan, Patrick J.",BR,6424,0.09416594755,general,6424,6821999,
2000,P,NY,FALSE,"Nader, Ralph",GRN,244030,3.58,general,244030,6821999,
2000,P,NY,FALSE,"Hagelin, John",IDP,24361,0.36,general,24361,6821999,
2000,P,NY,FALSE,"Browne, Harry",LBT,7649,0.11,general,7649,6821999,
2000,P,NY,FALSE,"Harris, James E.",SWP,1789,0.03,general,1789,6821999,
2000,P,NY,FALSE,"Phillips, Howard",CON,1498,0.02,general,1498,6821999,
2000,P,NY,FALSE,"McReynolds, David",W,2,0,general,2,6821999,
2004,P,NY,FALSE,"Kerry, John F.",COMBINED TOTAL,4314280,58.37178983,general,4314280,7391036,
2004,P,NY,FALSE,"Kerry, John F.",D,4180754,56.56520953,general,0,7391036,
2004,P,NY,FALSE,"Kerry, John F.",WF,133524,1.806580295,general,0,7391036,
2004,P,NY,TRUE,"Bush, George W.",COMBINED TOTAL,2962567,40.08324408,general,2962567,7391036,
2004,P,NY,TRUE,"Bush, George W.",R,2806993,37.97834295,general,0,7391036,
2004,P,NY,TRUE,"Bush, George W.",C,155574,2.104901126,general,0,7391036,
2004,P,NY,FALSE,"Nader, Ralph",COMBINED TOTAL,99873,1.351272,general,99873,7391036,
2004,P,NY,FALSE,"Nader, Ralph",IDP,84246,1.139853736,general,0,7391036,
2004,P,NY,FALSE,"Nader, Ralph",PJP,15625,0.211418264,general,0,7391036,
2004,P,NY,FALSE,"Badnarik, Michael",LBT,11607,0.1570415839,general,11607,7391036,
2004,P,NY,FALSE,"Calero, RÃ³ger",SWP,2405,0.03253941667,general,2405,7391036,
2004,P,NY,FALSE,"Peroutka, Michael A.",W,207,0.002800689917,general,207,7391036,
2004,P,NY,FALSE,"Cobb, David",W,87,0.001177101559,general,87,7391036,
2004,P,NY,FALSE,"Kennedy, John Joseph",W,4,5.41E-05,general,4,7391036,
2004,P,NY,FALSE,"Halpin, Michael",W,4,5.41E-05,general,4,7391036,
2004,P,NY,FALSE,"Van Auken, Bill",W,2,2.71E-05,general,2,7391036,
2008,P,NY,FALSE,"Obama, Barack",COMBINED TOTAL,4804945,62.88428727,general,0,7640931,Set effective vote to zero to avoid double counting.
2008,P,NY,FALSE,"Obama, Barack",D,4645332,60.79536643,general,4645332,7640931,
2008,P,NY,FALSE,"McCain, John",COMBINED TOTAL,2752771,36.02664387,general,0,7640931,Set effective vote to zero to avoid double counting.
2008,P,NY,FALSE,"McCain, John",R,2418323,31.64958563,general,2418323,7640931,
2008,P,NY,FALSE,"McCain, John",CRV,170475,2.231076292,general,170475,7640931,
2008,P,NY,FALSE,"McCain, John",IDP,163973,2.145981949,general,163973,7640931,
2008,P,NY,FALSE,"Obama, Barack",WF,159613,2.08892084,general,159613,7640931,
2008,P,NY,FALSE,"Nader, Ralph",POP,41249,0.5398425925,general,41249,7640931,
2008,P,NY,FALSE,"Barr, Bob",LBT,19596,0.2564608946,general,19596,7640931,
2008,P,NY,FALSE,"McKinney, Cynthia",GRE,12801,0.1675319408,general,12801,7640931,
2008,P,NY,FALSE,"Calero, Roger",SWP,3615,0.04731098867,general,3615,7640931,
2008,P,NY,FALSE,"La Riva, Gloria",SLP,1639,0.02145026568,general,1639,7640931,
2008,P,NY,FALSE,"Baldwin, Chuck",W,634,0.008297418207,general,634,7640931,
2008,P,NY,FALSE,"Keyes, Alan Lee",W,35,4.58E-04,general,35,7640931,
2008,P,NY,FALSE,"White, Jerome S.",W,18,2.36E-04,general,18,7640931,
2008,P,NY,FALSE,"Moore, Brian",W,10,1.31E-04,general,10,7640931,
2008,P,NY,FALSE,"Washington, Lanakila",W,3,3.93E-05,general,3,7640931,
2008,P,NY,FALSE,"Allen, Jonathan",W,1,1.31E-05,general,1,7640931,
2008,P,NY,FALSE,"Skok, Michael",W,1,1.31E-05,general,1,7640931,
2008,P,NY,FALSE,Scattered,W,3613,0.04728481385,general,3613,7640931,
2012,P,NY,TRUE,"Obama, Barack",COMBINED TOTAL,4485741,63.3475537,general,4485741,7081159,
2012,P,NY,TRUE,"Obama, Barack",D,4337622,61.25581985,general,0,7081159,
2012,P,NY,TRUE,"Obama, Barack",WF,148119,2.091733853,general,0,7081159,
2012,P,NY,FALSE,"Romney, Mitt",COMBINED TOTAL,2490431,35.16982178,general,2490431,7081159,
2012,P,NY,FALSE,"Romney, Mitt",R,2228059,31.46462323,general,0,7081159,
2012,P,NY,FALSE,"Romney, Mitt",CRV,262371,3.705198542,general,0,7081159,
2012,P,NY,FALSE,"Johnson, Gary",LIB,47256,0.6673483818,general,47256,7081159,
2012,P,NY,FALSE,"Stein, Jill",GRE,39982,0.5646250847,general,39982,7081159,
2012,P,NY,FALSE,Scattered,W,9076,0.1281711087,general,9076,7081159,
2012,P,NY,FALSE,"Goode, Virgil",CON,6274,0.08860131512,general,6274,7081159,
2012,P,NY,FALSE,"Lindsay, Peta",SLP,2050,0.02895006312,general,2050,7081159,
2012,P,NY,FALSE,"Anderson, Ross C.",W,217,0.003064470096,general,217,7081159,
2012,P,NY,FALSE,"Durham, Stephen",W,34,4.80E-04,general,34,7081159,
2012,P,NY,FALSE,"Hoefling, Tom",W,34,4.80E-04,general,34,7081159,
2012,P,NY,FALSE,"Harris, James",W,27,3.81E-04,general,27,7081159,
2012,P,NY,FALSE,"White, Jerry",W,19,2.68E-04,general,19,7081159,
2012,P,NY,FALSE,"Reed, Jill",W,12,1.69E-04,general,12,7081159,
2012,P,NY,FALSE,"Miller, Merlin",W,6,8.47E-05,general,6,7081159,